date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:31	138721/138721	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:49%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0004_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0004_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:35	106527/106527	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:54%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0006_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0006_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:35	57704/57704	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:55%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0007_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0007_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:39	53371/53371	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:57%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0008_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0008_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:43	46331/46331	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:59%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0009_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0009_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:48	123341/123341	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:56%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0007_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0007_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:53	57398/57398	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:25:02%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0010_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0010_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:54	117641/117641	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:59%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0008_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0008_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:55	100807/100807	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:25:01%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0009_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0009_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:21:00	43977/43977	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:25:04%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0011_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0011_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:21:04	40892/40892	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:25:06%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0012_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0012_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
